#metadataBlock	name	dataverseAlias   displayName	frenchdisplayName														
	geospatial		Geospatial Metadata	Métadonnées géospatiales													
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	frenchtitle	frenchdescription
	country	Lebanon		122													Liban
	country	Lesotho		123	LESOTHO												Lesotho
	country	Liberia		124													Libéria
	country	Libya		125													Libye
	country	Liechtenstein		126													Liechtenstein
	country	Lithuania		127													Lituanie
	country	Luxembourg		128													Luxembourg
	country	Macao		129													Macao
	country	Macedonia, the Former Yugoslav Republic of		130													Ancienne République yougoslave de Macédoine 
	country	Madagascar		131													Madagascar
	country	Malawi		132													Malawi
	country	Malaysia		133													Malaisie
	country	Maldives		134													Maldives
	country	Mali		135													Mali
	country	Malta		136													Malte
	country	Marshall Islands		137													Îles Marshall
	country	Martinique		138													Martinique
	country	Mauritania		139													Mauritanie
	country	Mauritius		140													Maurice
	country	Mayotte		141													Mayotte
	country	Mexico		142													Mexique
	country	Micronesia, Federated States of		143													Micronésie
	country	Moldova, Republic of		144													Moldavie
	country	Monaco		145													Monaco
	country	Mongolia		146													Mongolie
	country	Montenegro		147													Monténégro
	country	Montserrat		148													Montserrat
	country	Morocco		149													Maroc
	country	Mozambique		150	MOZAMBIQUE												Mozambique
	country	Myanmar		151													Myanmar
	country	Namibia		152	NAMIBIA												Namibie
	country	Nauru		153													Nauru
	country	Nepal		154													Népal
	country	Netherlands		155													Pays-Bas
	country	New Caledonia		156													Nouvelle-Calédonie
	country	New Zealand		157													Nouvelle-Zélande
	country	Nicaragua		158													Nicaragua
	country	Niger		159													Niger
	country	Nigeria		160													Nigeria
	country	Niue		161													Nioué
	country	Norfolk Island		162													Norfolk
	country	Northern Mariana Islands		163													Mariannes du Nord
	country	Norway		164													Norvège
	country	Oman		165													Oman
	country	Pakistan		166													Pakistan
	country	Palau		167													Palaos
	country	Palestine, State of		168													Palestine
	country	Panama		169													Panama
	country	Papua New Guinea		170													Papouasie-Nouvelle-Guinée
	country	Paraguay		171													Paraguay
	country	Peru		172													Pérou
	country	Philippines		173													Philippines
