Id	Part2b	Part2t	Part1	Scope	Language_Type	Ref_Name	Comment
gmd				I	L	Mághdì	
xak				I	E	Máku	
tnr				I	L	Ménik	
miq				I	L	Mískito	
mhn				I	L	Mócheno	
mwq				I	L	Mün Chin	
muh				I	L	Mündü	
msj				I	L	Ma (Democratic Republic of Congo)	
mjn				I	L	Ma (Papua New Guinea)	
skc				I	L	Ma Manda	
mhy				I	L	Ma'anyan	
mhi				I	L	Ma'di	
slz				I	L	Ma'ya	
cma				I	L	Maa	
mew				I	L	Maaka	
ffm				I	L	Maasina Fulfulde	
ymm				I	L	Maay	
mde				I	L	Maba (Chad)	
mqa				I	L	Maba (Indonesia)	
mmz				I	L	Mabaale	
mfz				I	L	Mabaan	
kkg				I	L	Mabaka Valley Kalinga	
muj				I	L	Mabire	
mca				I	L	Maca	
mbn				I	L	Macaguán	
mcl				I	E	Macaguaje	
mzs				I	L	Macanese	
